code,term
I10,tăng huyết áp
I10,cao huyết áp
I10,bệnh tăng huyết áp
E11,đái tháo đường type 2
E11,đái tháo đường típ 2
E11,tiểu đường type 2
E10,đái tháo đường type 1
K21.9,bệnh trào ngược dạ dày thực quản
K21.9,trào ngược dạ dày thực quản
K21.9,gerd
K21.0,bệnh trào ngược dạ dày thực quản có viêm thực quản
J18.9,viêm phổi
N18.9,bệnh thận mạn
N18.9,suy thận mạn
I48.91,rung nhĩ
J44.9,bệnh phổi tắc nghẽn mạn tính
J44.9,copd
E78.5,rối loạn lipid máu
E78.5,rối loạn mỡ máu
I50.9,suy tim
I50.0,suy tim sung huyết
I21.9,nhồi máu cơ tim
J45.909,hen phế quản
J45.909,hen suyễn
K29.70,viêm dạ dày
D64.9,thiếu máu
E03.9,suy giáp
F32.9,trầm cảm
N39.0,nhiễm trùng đường tiết niệu
N39.0,nhiễm trùng tiết niệu
K25.9,loét dạ dày
K74.60,xơ gan
I63.9,nhồi máu não
I63.9,đột quỵ
C18.9,ung thư đại tràng
