code,term
A00,bệnh tả
A01,bệnh thương hàn và/hoặc bệnh phó thương hàn
A02,nhiễm salmonella khác
A03,bệnh lỵ trực khuẩn
A04,nhiễm trùng đường ruột do vi khuẩn khác
A05,"ngộ độc thực phẩm do vi khuẩn khác, không phân loại mục khác"
A06,bệnh lỵ a-míp
A07,bệnh đường ruột do đơn bào khác
A08,nhiễm trùng đường ruột do virus và/hoặc tác nhân xác định khác
A09,viêm dạ dày- ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên
A15,"bệnh lao hô hấp, được khẳng định bằng vi khuẩn học và/hoặc mô học"
A16,"bệnh lao hô hấp, không được khẳng định bằng vi khuẩn học hoặc mô học"
A17,bệnh lao hệ thần kinh
A18,bệnh lao ở cơ quan khác
A19,bệnh lao kê
A20,bệnh dịch hạch
A21,bệnh tularaemia
A22,bệnh than
A23,bệnh do brucella
A24,bệnh melioidosis và/hoặc bệnh glanders
A25,sốt do chuột cắn
A26,bệnh viêm quầng đỏ do erysipelothrix rhusiopathiae
A27,bệnh nhiễm leptospira
A28,"bệnh nhiễm trùng khác do động vật truyền sang người, không phân loại mục khác"
A30,bệnh phong [bệnh hansen]
A31,nhiễm trùng do mycobacteria khác
A32,bệnh do nhiễm listeria
A33,bệnh uốn ván sơ sinh
A34,sản khoa
A35,bệnh uốn ván khác
A36,bệnh bạch hầu
A37,bệnh ho gà
A38,bệnh sốt tinh hồng nhiệt
A39,nhiễm trùng do não mô cầu
A40,nhiễm trùng hệ thống do liên cầu khuẩn
A41,nhiễm trùng hệ thống khác
A42,bệnh do nhiễm actinomyces
A43,bệnh do nhiễm nocardia
A44,bệnh do nhiễm bartonella
A46,viêm quầng (do liên cầu khuẩn [streptococcus])
A48,"bệnh nhiễm khuẩn khác, không phân loại mục khác"
A49,nhiễm khuẩn ở vị trí không xác định
A50,bệnh giang mai bẩm sinh
A51,bệnh giang mai sớm
A52,bệnh giang mai giai đoạn muộn [thời gian nhiễm khuẩn từ 2 năm trở lên]
A53,bệnh giang mai khác và/hoặc không xác định
A54,bệnh lậu [bệnh nhiễm khuẩn lậu cầu]
A55,viêm hạch lympho do chlamydia (bệnh hột xoài)
A56,bệnh khác do chlamydia lây truyền qua đường tình dục
A57,bệnh hạ cam mềm
A58,u hạt ở bẹn
A59,bệnh do trichomonas
A60,bệnh nhiễm virus herpes [herpes simplex] vùng hậu môn sinh dục
A63,"bệnh khác lây chủ yếu qua đường tình dục, không phân loại mục khác"
A64,bệnh lây truyền qua đường tình dục không xác định
A65,bệnh giang mai không lây qua đường tình dục
A66,bệnh ghẻ cóc [do spirochaete treponema pallidum]
A67,bệnh pinta [do treponema carateum]
A68,bệnh sốt tái phát
A69,bệnh do xoắn khuẩn khác
A70,bệnh do nhiễm chlamydia psittaci
A71,bệnh mắt hột
A74,bệnh khác do nhiễm chlamydia
A75,bệnh sốt phát ban
A77,sốt phát ban đốm [nhiễm rickttsia do bọ ve truyền]
A78,sốt q
A79,nhiễm rickettsia
A80,cấp tính
A81,bệnh do virus không điển hình ở hệ thần kinh trung ương
A82,bệnh dại ở người
A83,bệnh viêm não virus do muỗi truyền
A84,bệnh viêm não virus do bọ ve truyền
A85,"bệnh viêm não khác do virus, không phân loại mục khác"
A86,bệnh viêm não do virus không xác định
A87,bệnh viêm màng não do virus
A88,"nhiễm virus khác của hệ thần kinh trung ương, không phân loại mục khác"
A89,nhiễm virus không xác định của hệ thần kinh trung ương
A92,bệnh sốt virus khác do muỗi truyền
A93,"bệnh sốt virus khác do tiết túc truyền [virus arbo], không phân loại mục khác"
A94,bệnh sốt virus do tiết túc truyền [virus arbo] không xác định
A95,bệnh sốt vàng
A96,bệnh sốt xuất huyết do virus arena
A97,bệnh sốt xuất huyết dengue
