code,term
1191,aspirin
1191,asa
1191,acetylsalicylic acid
161,acetaminophen
161,paracetamol
161,tylenol
17767,amlodipine
17767,norvasc
6918,metoprolol
6918,lopressor
6918,toprol
83367,atorvastatin
83367,lipitor
29046,lisinopril
4603,furosemide
4603,lasix
7646,omeprazole
7646,prilosec
723,amoxicillin
6809,metformin
6809,glucophage
32968,clopidogrel
32968,plavix
11289,warfarin
11289,coumadin
10582,levothyroxine
10582,synthroid
40790,pantoprazole
40790,protonix
18631,azithromycin
18631,zithromax
2551,ciprofloxacin
2551,cipro
8640,prednisone
25480,gabapentin
25480,neurontin
36437,sertraline
36437,zoloft
5856,insulin
36567,simvastatin
36567,zocor
52175,losartan
5487,hydrochlorothiazide
5487,hctz
42463,pravastatin
